日期,SPU ID,展现数,点击数,点击率(%),花费,千次展现成本,平均点击成本,投产比,转化率(%),总订单金额
20260919,10025384428518,16,1,6.25,0.10,6.25,0.10,0.00,0.00,0.00
20260919,10025384408247,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025384385799,77,2,2.60,0.50,6.49,0.25,0.00,0.00,0.00
20260919,10025397793054,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10034365091854,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025384408749,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025384419311,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025384393780,336,10,2.98,16.04,47.74,1.60,10.54,10.00,169.00
20260919,10025384408251,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10026465128258,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10033906641138,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025384394885,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10026793493326,11,1,9.09,0.90,81.82,0.90,664.44,100.00,598.00
20260919,10028317202774,26,1,3.85,0.51,19.62,0.51,97.65,100.00,49.80
20260919,10025384406727,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10026609913039,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10028469168384,818,42,5.13,111.29,136.05,2.65,0.00,0.00,0.00
20260919,10026527524610,38,1,2.63,0.10,2.63,0.10,0.00,0.00,0.00
20260919,10027460155333,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025384409258,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025384421430,39,5,12.82,3.96,101.54,0.79,0.00,0.00,0.00
20260919,10025384410841,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10028005403878,21,2,9.52,1.98,94.29,0.99,0.00,0.00,0.00
20260919,10025384389074,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025384398866,60,8,13.33,2.64,44.00,0.33,26.48,12.50,69.90
20260919,10028127816877,46,2,4.35,1.19,25.87,0.60,166.39,50.00,198.00
20260919,10025384392464,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025384403348,2,1,50.00,0.16,80.00,0.16,0.00,0.00,0.00
20260919,10033701407346,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025397765200,45,1,2.22,0.10,2.22,0.10,0.00,0.00,0.00
20260919,10025384392785,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025384408132,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10029128476645,18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025384421033,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025397788065,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10026091802665,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10028316038057,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025384423325,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025384379700,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025384362308,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10025384403760,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260919,10028469365760,44,2,4.55,1.83,41.59,0.92,0.00,0.00,0.00
20260919,10028007135350,6764,315,4.66,472.62,69.87,1.50,2.80,0.63,1324.00
20260919,10025384424013,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10028316038057,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025384418938,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025384424512,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10027091565546,3,1,33.33,0.44,146.67,0.44,0.00,0.00,0.00
20260918,10025384392464,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10026609913039,18,1,5.56,0.33,18.33,0.33,0.00,0.00,0.00
20260918,10033906641138,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10028007135350,8912,437,4.90,755.29,84.75,1.73,4.22,1.14,3190.00
20260918,10025384408251,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025384362308,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025384398866,97,4,4.12,0.79,8.14,0.20,0.00,0.00,0.00
20260918,10026793493326,17,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025384392785,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10026527524610,40,1,2.50,2.13,53.25,2.13,0.00,0.00,0.00
20260918,10025939088316,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025384369305,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025384406727,33,1,3.03,1.35,40.91,1.35,0.00,0.00,0.00
20260918,10025384389074,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025384393780,672,23,3.42,39.03,58.08,1.70,5.65,13.04,220.70
20260918,10030658427493,70,3,4.29,0.87,12.43,0.29,0.00,0.00,0.00
20260918,10025384421318,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025384420542,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025384408247,4,1,25.00,0.68,170.00,0.68,0.00,0.00,0.00
20260918,10025384403760,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025384410841,6,1,16.67,1.31,218.33,1.31,0.00,0.00,0.00
20260918,10025397806625,2634,114,4.33,176.60,67.05,1.55,10.12,7.89,1788.00
20260918,10033701407346,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10026091802665,10,2,20.00,0.20,20.00,0.10,0.00,0.00,0.00
20260918,10025384428518,30,1,3.33,0.25,8.33,0.25,0.00,0.00,0.00
20260918,10025384418318,22,2,9.09,0.57,25.91,0.29,0.00,0.00,0.00
20260918,10025384408749,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025384421429,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10028469168384,596,37,6.21,113.16,189.87,3.06,0.00,0.00,0.00
20260918,10025384385799,98,1,1.02,0.14,1.43,0.14,0.00,0.00,0.00
20260918,10025397765200,63,4,6.35,2.26,35.87,0.57,114.16,25.00,258.00
20260918,10026465128258,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10028005403878,23,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025384421430,56,4,7.14,2.29,40.89,0.57,76.17,25.00,174.44
20260918,10028133190363,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025384377809,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025384394885,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10028410805957,347,24,6.92,18.13,52.25,0.76,0.00,0.00,0.00
20260918,10033758062001,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025384408132,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025384424013,11,1,9.09,1.36,123.64,1.36,0.00,0.00,0.00
20260918,10027460155333,7,1,14.29,0.13,18.57,0.13,0.00,0.00,0.00
20260918,10025384423325,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025384409258,17,6,35.29,0.62,36.47,0.10,0.00,0.00,0.00
20260918,10028469365760,57,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10026124119306,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10029128476645,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260918,10025397793054,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
